filename,dapi_ssim,panck_ssim,cd3_ssim,average_ssim,dapi_pearson,panck_pearson,cd3_pearson,average_pearson,dapi_psnr,panck_psnr,cd3_psnr,average_psnr
"[18778,52957]_patch_4_4",0.7809,0.8354,0.8512,0.8225,0.7421,0.5419,0.9672,0.7504,20.72,21.02,30.66,24.13
"[18778,52957]_patch_4_5",0.8284,0.7892,0.8497,0.8225,0.8145,0.5402,0.9691,0.7746,21.13,20.39,30.24,23.92
"[18778,52957]_patch_4_6",0.7951,0.8205,0.8466,0.8208,0.8382,0.5804,0.9671,0.7952,21.03,21.03,30.11,24.06
"[18778,52957]_patch_4_7",0.8380,0.8262,0.8660,0.8434,0.7972,0.6015,0.9704,0.7897,20.83,21.22,31.21,24.42
"[18778,52957]_patch_4_8",0.8202,0.8367,0.8645,0.8405,0.7501,0.5649,0.9696,0.7615,20.44,21.81,31.19,24.48
"[18778,52957]_patch_5_0",0.7863,0.6916,0.8327,0.7702,0.2451,0.5697,0.9672,0.5940,25.26,18.03,28.73,24.01
"[18778,52957]_patch_5_1",0.8593,0.7842,0.8607,0.8347,0.6059,0.6233,0.9694,0.7329,21.40,20.19,31.09,24.23
"[18778,52957]_patch_5_2",0.7540,0.8558,0.8577,0.8225,0.7134,0.5765,0.9667,0.7522,18.89,21.41,31.12,23.81
"[18778,52957]_patch_5_3",0.7443,0.8228,0.8539,0.8070,0.7929,0.5905,0.9687,0.7840,20.14,20.92,30.69,23.92
"[18778,52957]_patch_5_4",0.7279,0.7302,0.8463,0.7682,0.5739,0.5721,0.9661,0.7040,21.11,18.90,29.22,23.08
"[18778,52957]_patch_5_5",0.8062,0.6492,0.8437,0.7664,0.3011,0.5755,0.9670,0.6145,22.51,17.76,29.07,23.11
"[18778,52957]_patch_5_6",0.9206,0.6901,0.8651,0.8253,0.3126,0.6095,0.9731,0.6317,22.66,18.51,30.61,23.92
"[18778,52957]_patch_5_7",0.9648,0.7420,0.8809,0.8626,0.4004,0.6073,0.9768,0.6615,24.85,19.59,30.96,25.13
"[18778,52957]_patch_5_8",0.9401,0.7676,0.8783,0.8620,0.0061,0.5973,0.9755,0.5263,26.22,20.15,31.00,25.79
"[18778,52957]_patch_6_0",0.9256,0.5778,0.8357,0.7797,-0.0077,0.5554,0.9694,0.5057,23.88,16.65,29.11,23.22
"[18778,52957]_patch_6_1",0.9638,0.6207,0.8513,0.8119,-0.0081,0.5878,0.9712,0.5170,30.89,17.63,29.84,26.12
"[18778,52957]_patch_6_2",0.9460,0.6327,0.8521,0.8103,0.2291,0.5439,0.9706,0.5812,27.52,17.50,29.44,24.82
"[18778,52957]_patch_6_3",0.8807,0.6091,0.8462,0.7787,0.0513,0.5312,0.9671,0.5165,25.60,16.83,28.74,23.72
"[18778,52957]_patch_6_4",0.6805,0.6282,0.8195,0.7094,0.0290,0.5351,0.9539,0.5060,23.45,16.92,27.08,22.48
"[18778,52957]_patch_6_5",0.7403,0.5644,0.8108,0.7052,0.1137,0.5262,0.9533,0.5311,23.38,16.24,27.08,22.23
"[18778,52957]_patch_6_6",0.9565,0.5890,0.8486,0.7981,0.3790,0.5711,0.9699,0.6400,24.13,16.97,29.38,23.49
"[18778,52957]_patch_6_7",0.9837,0.6504,0.8709,0.8350,0.4628,0.5854,0.9750,0.6744,25.87,17.77,30.17,24.60
