filename,dapi_ssim,panck_ssim,cd3_ssim,average_ssim,dapi_pearson,panck_pearson,cd3_pearson,average_pearson,dapi_psnr,panck_psnr,cd3_psnr,average_psnr
"[10962,52167]_patch_5_2",0.3148,0.3409,0.6652,0.4403,0.7492,0.2024,0.9351,0.6289,15.37,17.18,19.86,17.47
"[10962,52167]_patch_5_3",0.3569,0.3981,0.6565,0.4705,0.6699,0.2683,0.9230,0.6204,15.95,13.25,19.34,16.18
"[10962,52167]_patch_5_4",0.4583,0.3349,0.6340,0.4758,0.7391,0.2517,0.9167,0.6358,16.73,17.70,17.59,17.34
"[10962,52167]_patch_5_5",0.4982,0.2120,0.6162,0.4422,0.7460,0.2447,0.8992,0.6300,14.54,17.79,15.83,16.05
"[10962,52167]_patch_5_6",0.4825,0.8977,0.6181,0.6661,0.5759,0.1670,0.9098,0.5509,14.82,22.92,17.66,18.46
"[10962,52167]_patch_5_7",0.5610,0.2814,0.5967,0.4797,0.6544,0.1745,0.9167,0.5819,16.09,19.53,18.75,18.12
"[10962,52167]_patch_5_8",0.6614,0.6346,0.5723,0.6227,0.6734,0.2685,0.9393,0.6270,21.25,16.07,23.11,20.14
"[10962,52167]_patch_6_0",0.4433,0.4611,0.6555,0.5200,0.7414,0.2519,0.9345,0.6426,17.24,14.08,20.83,17.38
"[10962,52167]_patch_6_1",0.4930,0.3300,0.6502,0.4911,0.8373,0.2247,0.9216,0.6612,16.25,17.27,18.08,17.20
"[10962,52167]_patch_6_2",0.5548,0.3053,0.6353,0.4984,0.7936,0.2407,0.9163,0.6502,14.69,17.98,16.50,16.39
"[10962,52167]_patch_6_3",0.4956,0.2250,0.6297,0.4501,0.7687,0.3042,0.8889,0.6539,14.82,17.84,16.20,16.29
"[10962,52167]_patch_6_4",0.5015,0.2513,0.6291,0.4607,0.8216,0.3051,0.8964,0.6744,14.80,18.66,16.37,16.61
"[10962,52167]_patch_6_5",0.5063,0.3150,0.6358,0.4857,0.7100,0.2804,0.9281,0.6395,15.77,19.32,20.07,18.39
"[10962,52167]_patch_6_6",0.4458,0.3633,0.7706,0.5266,0.6251,0.1621,0.9469,0.5780,15.67,20.98,24.62,20.42
"[10962,52167]_patch_6_7",0.6325,0.6313,0.5693,0.6110,0.6983,0.1951,0.9477,0.6137,19.27,16.12,23.58,19.66
"[10962,52167]_patch_6_8",0.5438,0.7277,0.5500,0.6072,0.3009,0.2523,0.9487,0.5006,19.63,17.91,25.33,20.96
"[16705,49971]_patch_0_0",0.3016,0.2598,0.5787,0.3800,0.3488,0.1886,0.9534,0.4970,17.41,16.75,25.95,20.04
"[16705,49971]_patch_0_1",0.4943,0.4388,0.6212,0.5181,0.7630,0.1736,0.9494,0.6287,14.98,20.69,23.15,19.60
"[16705,49971]_patch_0_2",0.3170,0.1969,0.6615,0.3918,0.7012,0.1539,0.9444,0.5999,14.24,19.41,22.77,18.81
"[16705,49971]_patch_0_3",0.2736,0.1335,0.6046,0.3373,0.0866,0.2477,0.9475,0.4273,15.39,15.21,25.23,18.61
"[16705,49971]_patch_0_4",0.1973,0.0361,0.6585,0.2973,0.2194,0.1712,0.9464,0.4457,13.03,11.30,23.80,16.04
"[16705,49971]_patch_0_5",0.1633,0.2877,0.6727,0.3746,0.4547,0.1467,0.9462,0.5159,13.02,13.13,21.93,16.03
"[16705,49971]_patch_0_6",0.3001,0.3661,0.6397,0.4353,0.6506,0.1762,0.9473,0.5913,16.94,13.05,21.38,17.12
"[16705,49971]_patch_0_7",0.2740,0.0759,0.6417,0.3306,0.7172,0.1460,0.9292,0.5975,14.97,16.21,18.45,16.55
"[16705,49971]_patch_0_8",0.2501,0.0259,0.6655,0.3138,0.6593,0.0583,0.9214,0.5463,11.56,8.18,17.00,12.25
"[16705,49971]_patch_1_0",0.2908,0.2723,0.6043,0.3891,0.1149,0.2675,0.9523,0.4449,16.52,16.85,23.46,18.94
"[16705,49971]_patch_1_1",0.2942,0.2484,0.6175,0.3867,0.2701,0.2492,0.9517,0.4903,16.10,15.97,23.85,18.64
"[16705,49971]_patch_1_2",0.2688,0.2459,0.6214,0.3787,0.1284,0.2380,0.9525,0.4396,15.60,15.57,25.60,18.92
"[16705,49971]_patch_1_3",0.2631,0.1515,0.6200,0.3449,-0.0008,0.2338,0.9491,0.3940,16.29,16.75,25.16,19.40
"[16705,49971]_patch_1_4",0.2082,0.1002,0.6333,0.3139,-0.0129,0.1996,0.9432,0.3766,16.36,15.19,24.34,18.63
"[16705,49971]_patch_1_5",0.2146,0.2596,0.6751,0.3831,0.0963,0.1493,0.9443,0.3966,12.01,13.06,21.49,15.52
"[16705,49971]_patch_1_6",0.1752,0.2034,0.6785,0.3524,0.4364,0.1371,0.9444,0.5060,14.00,11.84,19.91,15.25
"[16705,49971]_patch_1_7",0.1946,0.2281,0.6612,0.3613,0.6543,0.1158,0.9415,0.5706,15.35,11.72,19.70,15.59
"[16705,49971]_patch_1_8",0.2103,0.0591,0.6647,0.3114,0.6473,0.0562,0.9265,0.5433,13.99,11.27,18.95,14.74
"[16705,49971]_patch_2_0",0.1191,0.0929,0.6366,0.2829,0.0812,0.2041,0.9462,0.4105,11.72,11.95,22.33,15.33
"[16705,49971]_patch_2_1",0.1957,0.0952,0.6657,0.3189,0.4810,0.1060,0.9414,0.5094,12.88,10.76,22.29,15.31
"[16705,49971]_patch_2_2",0.3022,0.3585,0.6519,0.4375,0.6096,0.1373,0.9491,0.5653,15.14,13.67,23.51,17.44
"[16705,49971]_patch_2_3",0.3253,0.4390,0.6179,0.4607,0.5131,0.1862,0.9470,0.5488,19.35,15.00,24.73,19.69
"[16705,49971]_patch_2_4",0.3799,0.1620,0.6041,0.3820,0.5308,0.1466,0.9433,0.5402,19.96,17.87,24.59,20.81
"[16705,49971]_patch_2_5",0.2423,0.0918,0.6702,0.3348,0.0048,0.3382,0.9438,0.4289,17.47,12.76,23.07,17.77
"[16705,49971]_patch_2_6",0.3079,0.0401,0.6834,0.3438,0.1078,0.2568,0.9434,0.4360,17.10,10.39,20.30,15.93
"[16705,49971]_patch_2_7",0.3698,0.0450,0.6731,0.3626,0.1038,0.1884,0.9483,0.4135,19.07,10.42,20.54,16.68
"[16705,49971]_patch_2_8",0.3260,0.0663,0.6934,0.3619,0.1184,0.1783,0.9492,0.4153,21.61,10.72,21.93,18.09
"[16705,49971]_patch_3_0",0.6303,0.0893,0.6573,0.4590,0.1012,0.3246,0.9353,0.4537,21.30,12.12,20.11,17.84
"[16705,49971]_patch_3_1",0.1353,0.0525,0.6769,0.2882,0.4738,0.1534,0.9394,0.5222,12.23,9.97,20.83,14.34
"[16705,49971]_patch_3_2",0.1697,0.2783,0.6741,0.3741,0.5985,0.1348,0.9461,0.5598,13.16,13.15,22.45,16.25
"[16705,49971]_patch_3_3",0.3916,0.3743,0.6214,0.4624,0.6387,0.1771,0.9451,0.5870,18.19,13.95,23.26,18.47
"[16705,49971]_patch_3_4",0.2096,0.1092,0.6597,0.3261,0.5840,0.1561,0.9416,0.5606,15.03,13.33,21.54,16.63
"[16705,49971]_patch_3_5",0.0931,0.0347,0.6913,0.2730,0.1370,0.3227,0.9431,0.4676,9.50,9.90,19.16,12.86
"[16705,49971]_patch_3_6",0.4685,0.0543,0.6797,0.4008,0.0680,0.3250,0.9488,0.4473,17.62,11.42,20.19,16.41
"[16705,49971]_patch_3_7",0.2328,0.0975,0.6521,0.3275,0.3650,0.2180,0.9428,0.5086,16.40,14.24,20.76,17.13
"[16705,49971]_patch_3_8",0.1085,0.0506,0.6857,0.2816,0.1447,0.2293,0.9484,0.4408,10.95,11.06,21.94,14.65
"[16705,49971]_patch_4_0",0.4816,0.1551,0.6653,0.4340,0.0665,0.3701,0.9264,0.4544,16.38,13.18,19.12,16.22
"[16705,49971]_patch_4_1",0.0852,0.0747,0.6677,0.2759,0.0984,0.3086,0.9465,0.4512,11.39,11.32,21.41,14.71
"[16705,49971]_patch_4_2",0.1866,0.1420,0.6446,0.3244,0.0715,0.1611,0.9563,0.3963,13.36,12.91,22.94,16.41
"[16705,49971]_patch_4_3",0.2475,0.1926,0.6451,0.3617,0.5131,0.2266,0.9499,0.5632,15.86,14.96,22.76,17.86
"[16705,49971]_patch_4_4",0.0689,0.0660,0.6838,0.2729,0.4001,0.2634,0.9390,0.5341,11.67,11.88,20.36,14.64
"[16705,49971]_patch_4_5",0.0666,0.0588,0.6638,0.2631,0.0914,0.2630,0.9417,0.4321,10.38,10.84,19.44,13.55
"[16705,49971]_patch_4_6",0.3227,0.2704,0.6454,0.4129,0.6824,0.1607,0.9358,0.5929,14.42,11.17,18.47,14.68
"[16705,49971]_patch_4_7",0.4299,0.1312,0.6601,0.4071,0.7746,0.1263,0.9145,0.6052,13.03,18.80,18.45,16.76
"[16705,49971]_patch_4_8",0.3970,0.1494,0.6578,0.4014,0.8083,0.1244,0.9184,0.6170,14.35,19.26,20.20,17.94
"[16705,49971]_patch_5_0",0.5137,0.1409,0.6660,0.4402,0.0723,0.3372,0.9318,0.4471,15.14,14.40,20.88,16.80
"[16705,49971]_patch_5_1",0.5139,0.0489,0.6570,0.4066,0.1079,0.2703,0.9475,0.4419,20.34,12.32,21.44,18.03
"[16705,49971]_patch_5_2",0.5780,0.0703,0.6742,0.4408,0.0374,0.1767,0.9564,0.3901,21.40,11.83,24.08,19.10
"[16705,49971]_patch_5_3",0.1484,0.0489,0.6760,0.2911,0.2326,0.2030,0.9459,0.4605,13.23,13.63,23.48,16.78
"[16705,49971]_patch_5_4",0.2347,0.0264,0.6702,0.3104,0.7669,0.1290,0.9049,0.6003,14.38,14.53,17.54,15.49
"[16705,49971]_patch_5_5",0.4016,0.0494,0.6636,0.3716,0.8401,0.2751,0.8937,0.6696,12.77,14.60,16.40,14.59
"[16705,49971]_patch_5_6",0.4258,0.0678,0.6376,0.3771,0.7942,0.2531,0.9048,0.6507,12.50,17.74,15.20,15.14
"[16705,49971]_patch_5_7",0.4046,0.8635,0.6423,0.6368,0.6756,0.1617,0.9115,0.5829,13.34,21.17,13.67,16.06
"[16705,49971]_patch_5_8",0.4778,0.8729,0.6572,0.6693,0.6362,0.1628,0.9229,0.5740,12.60,20.86,16.05,16.50
"[16705,49971]_patch_6_0",0.5379,0.0613,0.6455,0.4149,0.1239,0.2946,0.9416,0.4534,17.86,12.50,24.25,18.20
"[16705,49971]_patch_6_1",0.4282,0.0309,0.6526,0.3705,0.2717,0.1603,0.9476,0.4599,19.55,11.80,24.38,18.58
"[16705,49971]_patch_6_2",0.4871,0.0825,0.6555,0.4083,0.2849,0.1238,0.9542,0.4543,21.07,12.77,23.57,19.14
"[16705,49971]_patch_6_3",0.1549,0.3150,0.6656,0.3785,0.4239,0.0809,0.9465,0.4838,12.30,13.22,22.16,15.89
"[16705,49971]_patch_6_4",0.3464,0.2526,0.6696,0.4229,0.6803,0.1521,0.9290,0.5871,12.90,16.42,18.92,16.08
"[16705,49971]_patch_6_5",0.5051,0.2986,0.6654,0.4897,0.7634,0.2284,0.9364,0.6427,11.86,19.52,17.06,16.14
"[16705,49971]_patch_6_6",0.3499,0.0852,0.6484,0.3612,0.6710,0.1736,0.9073,0.5839,9.97,15.94,13.62,13.18
"[16705,49971]_patch_6_7",0.3401,0.8877,0.6126,0.6135,0.5930,0.1811,0.9008,0.5583,11.07,23.95,12.79,15.94
"[16705,49971]_patch_6_8",0.3270,0.0205,0.6461,0.3312,0.6040,0.1787,0.9065,0.5630,10.25,15.66,14.18,13.36
"[17039,52008]_patch_0_0",0.0555,0.0619,0.6567,0.2580,0.0940,0.3432,0.9437,0.4603,10.46,11.16,20.62,14.08
"[17039,52008]_patch_0_1",0.1382,0.1591,0.6861,0.3278,0.3220,0.3140,0.9423,0.5261,9.18,9.46,18.67,12.44
